基準地の１平方メートル当たり価格（円）,基準地の地積（m2）,基準地の鉄道その他の主要な交通施設との接近状況,ガス,下水,水道,鉄筋コンクリート造,鉄骨造,木造,ホテル,事務所,住宅,工場,店舗,銀行
260000,252,550.0,1,1,1,1,0,0,0,0,0,0,1,0
265000,699,430.0,1,1,1,0,1,0,0,1,0,0,0,0
81000,273,1600.0,1,1,1,1,0,0,0,0,0,0,1,0
208000,530,820.0,1,1,1,1,0,0,0,0,0,0,0,1
186000,567,300.0,1,1,1,0,1,0,0,0,0,0,1,0
83300,263,1000.0,1,1,1,0,0,1,0,0,0,0,1,0
68900,362,1900.0,0,1,1,0,1,0,0,0,0,0,1,0
80000,760,1000.0,1,1,1,0,1,0,0,0,0,0,1,0
70700,488,1800.0,1,1,1,0,1,0,0,0,0,0,1,0
73300,116,720.0,0,1,1,0,0,1,0,0,0,0,1,0
51400,135,300.0,1,1,1,0,0,1,0,0,0,0,1,0
72900,688,2700.0,0,1,1,0,0,1,0,0,0,0,1,0
31000,178,600.0,0,1,1,0,0,1,0,0,0,0,1,0
51600,575,3000.0,0,0,1,0,1,0,0,0,0,1,0,0
101000,301,2500.0,1,1,1,0,0,1,0,1,0,0,0,0
56200,1762,5200.0,0,0,1,0,0,0,0,0,0,0,0,0
183000,268,750.0,1,1,1,0,0,1,0,1,0,0,0,0
415000,84,380.0,1,1,1,0,1,0,0,0,0,0,1,0
400000,334,200.0,1,1,1,0,1,0,0,0,0,0,1,0
113000,334,850.0,1,1,1,0,1,0,0,0,0,0,1,0
116000,315,1700.0,0,1,1,0,1,0,0,0,0,0,1,0
74100,563,2500.0,1,1,1,0,1,0,0,0,0,0,1,0
49300,1401,5200.0,1,1,1,0,1,0,0,0,0,0,1,0
44800,1047,1600.0,0,1,1,0,1,0,0,0,0,0,1,0
25000,5453,1800.0,0,1,1,0,1,0,0,0,0,1,0,0
21400,28697,6000.0,1,0,1,0,0,0,0,0,0,1,0,0
33400,221,1000.0,1,1,1,0,0,1,0,0,1,0,0,0
25900,272,4200.0,0,1,1,0,0,1,0,0,1,0,0,0
30900,261,2300.0,1,1,1,0,0,1,0,0,1,0,0,0
20000,241,1600.0,0,1,1,0,0,1,0,0,1,0,0,0
34700,181,1200.0,1,1,1,0,0,1,0,0,1,0,0,0
20200,231,2900.0,1,1,1,0,0,1,0,0,1,0,0,0
28400,218,5100.0,0,1,1,0,0,1,0,0,1,0,0,0
28000,357,1800.0,1,1,1,0,1,0,0,0,1,0,0,0
31800,364,300.0,1,1,1,0,0,1,0,0,1,0,0,0
4450,898,3800.0,0,0,1,0,0,1,0,0,1,0,0,0
6950,203,750.0,0,0,1,0,0,1,0,0,1,0,0,0
29800,376,1900.0,1,1,1,0,0,1,0,0,1,0,0,0
32600,245,1100.0,1,1,1,0,0,1,0,0,1,0,0,0
20600,431,400.0,0,1,1,0,0,1,0,0,1,0,0,0
8180,485,2200.0,0,0,1,0,0,1,0,0,1,0,0,0
39900,448,560.0,1,1,1,1,0,0,0,0,0,0,0,1
38000,81,800.0,1,1,1,1,0,0,0,0,0,0,1,0
